time_s,Vout_V,iL_A,duty,Rload_ohm
0.000000,5.000364,0.500000,0.41875,10.00
0.000010,5.002143,0.498452,0.41691,10.00
0.000020,5.003795,0.495283,0.41604,10.00
0.000030,5.005273,0.491355,0.41572,10.00
0.000040,5.006558,0.487161,0.41571,10.00
0.000050,5.007383,0.482984,0.41586,10.00
0.000060,5.006995,0.480099,0.41743,10.00
0.000070,5.006519,0.478640,0.41834,10.00
0.000080,5.006004,0.478022,0.41885,10.00
0.000090,5.005477,0.477903,0.41914,10.00
0.000100,5.004650,0.478076,0.41929,10.00
0.000110,5.002645,0.479724,0.42091,10.00
0.000120,5.000768,0.482835,0.42167,10.00
0.000130,4.999062,0.486641,0.42194,10.00
0.000140,4.997544,0.490697,0.42193,10.00
0.000150,4.996341,0.494749,0.42177,10.00
0.000160,4.995805,0.498130,0.42091,10.00
0.000170,4.995403,0.500740,0.42035,10.00
0.000180,4.995106,0.502834,0.41996,10.00
0.000190,4.994896,0.504566,0.41969,10.00
0.000200,4.994900,0.506030,0.41948,10.00
0.000210,4.995525,0.506673,0.41860,10.00
0.000220,4.996153,0.506507,0.41812,10.00
0.000230,4.996757,0.505897,0.41789,10.00
0.000240,4.997323,0.505057,0.41779,10.00
0.000250,4.997881,0.504111,0.41777,10.00
0.000260,4.998527,0.502986,0.41763,10.00
0.000270,4.999115,0.501716,0.41759,10.00
0.000280,4.999641,0.500407,0.41762,10.00
0.000290,5.000106,0.499118,0.41769,10.00
0.000300,5.000474,0.497885,0.41777,10.00
0.000310,5.000636,0.496886,0.41806,10.00
0.000320,5.000760,0.496138,0.41824,10.00
0.000330,5.000854,0.495554,0.41836,10.00
0.000340,5.000924,0.495080,0.41844,10.00
0.000350,5.000842,0.494685,0.41850,10.00
0.000360,5.000229,0.494913,0.41922,10.00
0.000370,4.999647,0.495777,0.41957,10.00
0.000380,4.999117,0.496956,0.41972,10.00
0.000390,4.998647,0.498264,0.41975,10.00
0.000400,4.998083,0.499596,0.41971,10.00
0.000410,4.996973,0.501555,0.42043,10.00
0.000420,4.995975,0.504142,0.42072,10.00
0.000430,4.995107,0.506970,0.42077,10.00
0.000440,4.994372,0.509819,0.42068,10.00
0.000450,4.993946,0.512568,0.42053,10.00
0.000460,4.994341,0.514388,0.41944,10.00
0.000470,4.994788,0.515212,0.41882,10.00
0.000480,4.995253,0.515451,0.41847,10.00
0.000490,4.995717,0.515351,0.41829,10.00
0.000500,4.996218,0.515053,0.41819,10.00
0.000510,4.996890,0.514437,0.41791,10.00
0.000520,4.997523,0.513543,0.41779,10.00
0.000530,4.998108,0.512518,0.41776,10.00
0.000540,4.998643,0.511448,0.41778,10.00
0.000550,4.999288,0.510381,0.41783,10.00
0.000560,5.000512,0.508661,0.41708,10.00
0.000570,5.001631,0.506269,0.41677,10.00
0.000580,5.002628,0.503596,0.41670,10.00
0.000590,5.003497,0.500864,0.41677,10.00
0.000600,5.003919,0.498201,0.41691,10.00
0.000610,5.002974,0.497037,0.41869,10.00
0.000620,5.002028,0.497471,0.41965,10.00
0.000630,5.001130,0.498761,0.42011,10.00
0.000640,5.000308,0.500474,0.42030,10.00
0.000650,4.999901,0.502359,0.42033,10.00
0.000660,5.000860,0.502875,0.41862,10.00
0.000670,5.001794,0.501878,0.41773,10.00
0.000680,5.002654,0.500099,0.41731,10.00
0.000690,5.003419,0.497962,0.41717,10.00
