time_s,Vout_V,iL_A,duty,Rload_ohm
0.000000,5.000364,0.500000,0.41875,10.00
0.000010,5.002173,0.499826,0.41866,10.00
0.000020,5.003958,0.499362,0.41857,10.00
0.000030,5.005707,0.498615,0.41848,10.00
0.000040,5.007406,0.497589,0.41838,10.00
0.000050,5.008781,0.496294,0.41830,10.00
0.000060,5.009036,0.494866,0.41827,10.00
0.000070,5.009225,0.493400,0.41826,10.00
0.000080,5.009345,0.491907,0.41824,10.00
0.000090,5.009397,0.490397,0.41823,10.00
0.000100,5.009074,0.488882,0.41823,10.00
0.000110,5.007464,0.487519,0.41830,10.00
0.000120,5.005806,0.486417,0.41838,10.00
0.000130,5.004114,0.485582,0.41846,10.00
0.000140,5.002398,0.485018,0.41854,10.00
0.000150,5.000796,0.484730,0.41862,10.00
0.000160,4.999687,0.484659,0.41868,10.00
0.000170,4.998585,0.484766,0.41873,10.00
0.000180,4.997498,0.485048,0.41879,10.00
0.000190,4.996433,0.485504,0.41885,10.00
0.000200,4.995542,0.486129,0.41890,10.00
0.000210,4.995259,0.486849,0.41892,10.00
0.000220,4.995011,0.487613,0.41894,10.00
0.000230,4.994800,0.488416,0.41895,10.00
0.000240,4.994627,0.489250,0.41896,10.00
0.000250,4.994529,0.490111,0.41898,10.00
0.000260,4.994609,0.490975,0.41898,10.00
0.000270,4.994727,0.491824,0.41898,10.00
0.000280,4.994883,0.492653,0.41897,10.00
0.000290,4.995075,0.493456,0.41897,10.00
0.000300,4.995263,0.494226,0.41896,10.00
0.000310,4.995332,0.494977,0.41896,10.00
0.000320,4.995434,0.495715,0.41896,10.00
0.000330,4.995569,0.496436,0.41896,10.00
0.000340,4.995735,0.497134,0.41895,10.00
0.000350,4.995800,0.497804,0.41895,10.00
0.000360,4.995366,0.498505,0.41897,10.00
0.000370,4.994969,0.499274,0.41900,10.00
0.000380,4.994610,0.500104,0.41902,10.00
0.000390,4.994292,0.500991,0.41904,10.00
0.000400,4.993860,0.501927,0.41906,10.00
0.000410,4.992852,0.502979,0.41911,10.00
0.000420,4.991901,0.504191,0.41917,10.00
0.000430,4.991014,0.505552,0.41922,10.00
0.000440,4.990196,0.507053,0.41927,10.00
0.000450,4.989632,0.508681,0.41931,10.00
0.000460,4.989862,0.510339,0.41931,10.00
0.000470,4.990164,0.511957,0.41931,10.00
0.000480,4.990537,0.513523,0.41930,10.00
0.000490,4.990978,0.515027,0.41928,10.00
0.000500,4.991532,0.516457,0.41926,10.00
0.000510,4.992341,0.517780,0.41923,10.00
0.000520,4.993203,0.518971,0.41919,10.00
0.000530,4.994111,0.520022,0.41915,10.00
0.000540,4.995059,0.520926,0.41911,10.00
0.000550,4.996201,0.521677,0.41907,10.00
0.000560,4.998009,0.522192,0.41898,10.00
0.000570,4.999824,0.522417,0.41889,10.00
0.000580,5.001634,0.522351,0.41880,10.00
0.000590,5.003424,0.521997,0.41871,10.00
0.000600,5.004862,0.521356,0.41861,10.00
0.000610,5.004982,0.520590,0.41860,10.00
0.000620,5.005066,0.519806,0.41860,10.00
0.000630,5.005114,0.519009,0.41859,10.00
0.000640,5.005125,0.518207,0.41858,10.00
0.000650,5.005427,0.517404,0.41858,10.00
0.000660,5.006997,0.516449,0.41850,10.00
0.000670,5.008510,0.515246,0.41841,10.00
0.000680,5.009955,0.513802,0.41833,10.00
0.000690,5.011321,0.512131,0.41826,10.00
0.000700,5.012419,0.510244,0.41818,10.00
0.000710,5.012700,0.508244,0.41816,10.00
0.000720,5.012888,0.506202,0.41814,10.00
0.000730,5.012982,0.504135,0.41812,10.00
0.000740,5.012981,0.502056,0.41811,10.00
0.000750,5.012979,0.499981,0.41810,10.00
0.000760,5.013258,0.497881,0.41808,10.00
0.000770,5.013439,0.495740,0.41806,10.00
0.000780,5.013521,0.493574,0.41804,10.00
0.000790,5.013504,0.491400,0.41803,10.00
0.000800,5.013196,0.489232,0.41802,10.00
0.000810,5.012027,0.487179,0.41807,10.00
0.000820,5.010775,0.485317,0.41812,10.00
0.000830,5.009450,0.483659,0.41818,10.00
0.000840,5.008061,0.482216,0.41824,10.00
0.000850,5.006744,0.480997,0.41831,10.00
0.000860,5.005879,0.479952,0.41835,10.00
0.000870,5.004974,0.479047,0.41839,10.00
0.000880,5.004036,0.478289,0.41843,10.00
0.000890,5.003072,0.477681,0.41848,10.00
0.000900,5.001912,0.477230,0.41852,10.00
0.000910,5.000038,0.477021,0.41861,10.00
0.000920,4.998170,0.477112,0.41871,10.00
0.000930,4.996324,0.477502,0.41880,10.00
0.000940,4.994512,0.478185,0.41890,10.00
0.000950,4.992936,0.479158,0.41899,10.00
0.000960,4.992172,0.480319,0.41904,10.00
0.000970,4.991468,0.481601,0.41908,10.00
0.000980,4.990829,0.482993,0.41912,10.00
0.000990,4.990258,0.484484,0.41916,10.00
0.001000,4.989701,0.486064,0.41919,10.00
0.001010,4.988982,0.487749,0.41923,10.00
0.001020,4.988346,0.489545,0.41928,10.00
0.001030,4.987797,0.491440,0.41931,10.00
0.001040,4.987338,0.493419,0.41935,10.00
0.001050,4.986964,0.495468,0.41938,10.00
0.001060,4.986647,0.497575,0.41940,10.00
0.001070,4.986428,0.499729,0.41943,10.00
0.001080,4.986309,0.501914,0.41944,10.00
0.001090,4.986290,0.504114,0.41946,10.00
0.001100,4.986745,0.506313,0.41947,10.00
0.001110,4.988787,0.508315,0.41937,10.00
0.001120,4.990902,0.509986,0.41928,10.00
0.001130,4.993074,0.511317,0.41918,10.00
0.001140,4.995287,0.512298,0.41907,10.00
0.001150,4.997254,0.512923,0.41896,10.00
0.001160,4.998152,0.513319,0.41892,10.00
0.001170,4.999060,0.513572,0.41887,10.00
0.001180,4.999971,0.513678,0.41883,10.00
0.001190,5.000879,0.513639,0.41878,10.00
0.001200,5.001776,0.513454,0.41874,10.00
0.001210,5.002647,0.513127,0.41869,10.00
0.001220,5.003497,0.512662,0.41865,10.00
0.001230,5.004317,0.512062,0.41860,10.00
0.001240,5.005103,0.511331,0.41856,10.00
0.001250,5.005875,0.510476,0.41852,10.00
0.001260,5.006707,0.509491,0.41847,10.00
0.001270,5.007486,0.508376,0.41843,10.00
0.001280,5.008208,0.507137,0.41838,10.00
0.001290,5.008867,0.505786,0.41834,10.00
0.001300,5.009383,0.504332,0.41830,10.00
0.001310,5.009527,0.502822,0.41829,10.00
0.001320,5.009601,0.501293,0.41828,10.00
0.001330,5.009605,0.499754,0.41827,10.00
0.001340,5.009539,0.498218,0.41826,10.00
0.001350,5.009281,0.496695,0.41826,10.00
0.001360,5.008467,0.495256,0.41829,10.00
0.001370,5.007594,0.493949,0.41833,10.00
0.001380,5.006670,0.492785,0.41837,10.00
0.001390,5.005702,0.491770,0.41841,10.00
0.001400,5.004784,0.490913,0.41846,10.00
0.001410,5.004190,0.490175,0.41849,10.00
0.001420,5.003568,0.489533,0.41851,10.00
0.001430,5.002921,0.488993,0.41854,10.00
0.001440,5.002256,0.488556,0.41857,10.00
0.001450,5.001641,0.488227,0.41861,10.00
0.001460,5.001270,0.487976,0.41862,10.00
0.001470,5.000891,0.487786,0.41864,10.00
0.001480,5.000506,0.487656,0.41866,10.00
0.001490,5.000119,0.487588,0.41868,10.00
0.001500,4.999682,0.487582,0.41870,10.00
0.001510,4.999043,0.487663,0.41873,10.00
0.001520,4.998414,0.487845,0.41876,10.00
0.001530,4.997799,0.488128,0.41880,10.00
0.001540,4.997202,0.488508,0.41883,10.00
0.001550,4.996517,0.488983,0.41886,10.00
0.001560,4.995420,0.489602,0.41892,10.00
0.001570,4.994360,0.490396,0.41897,10.00
0.001580,4.993345,0.491357,0.41903,10.00
0.001590,4.992384,0.492478,0.41908,10.00
0.001600,4.991653,0.493751,0.41914,10.00
0.001610,4.991669,0.495084,0.41914,10.00
0.001620,4.991746,0.496411,0.41915,10.00
0.001630,4.991882,0.497724,0.41915,10.00
0.001640,4.992077,0.499012,0.41914,10.00
0.001650,4.992240,0.500267,0.41914,10.00
0.001660,4.992108,0.501522,0.41915,10.00
0.001670,4.992034,0.502795,0.41916,10.00
0.001680,4.992018,0.504077,0.41917,10.00
0.001690,4.992061,0.505360,0.41918,10.00
0.001700,4.992242,0.506633,0.41918,10.00
0.001710,4.992798,0.507849,0.41916,10.00
0.001720,4.993405,0.508974,0.41913,10.00
0.001730,4.994057,0.509999,0.41910,10.00
0.001740,4.994750,0.510919,0.41907,10.00
0.001750,4.995540,0.511726,0.41904,10.00
0.001760,4.996610,0.512385,0.41899,10.00
0.001770,4.997700,0.512872,0.41894,10.00
0.001780,4.998802,0.513183,0.41889,10.00
0.001790,4.999908,0.513318,0.41883,10.00
0.001800,5.001039,0.513276,0.41878,10.00
0.001810,5.002271,0.513044,0.41871,10.00
0.001820,5.003481,0.512615,0.41865,10.00
0.001830,5.004660,0.511994,0.41859,10.00
0.001840,5.005802,0.511186,0.41853,10.00
0.001850,5.006766,0.510197,0.41847,10.00
0.001860,5.007161,0.509097,0.41844,10.00
0.001870,5.007503,0.507936,0.41842,10.00
0.001880,5.007788,0.506722,0.41840,10.00
0.001890,5.008017,0.505465,0.41838,10.00
0.001900,5.008277,0.504174,0.41836,10.00
0.001910,5.008840,0.502815,0.41833,10.00
0.001920,5.009337,0.501368,0.41829,10.00
0.001930,5.009764,0.499845,0.41826,10.00
0.001940,5.010118,0.498257,0.41824,10.00
0.001950,5.010108,0.496614,0.41822,10.00
0.001960,5.008875,0.495069,0.41827,10.00
0.001970,5.007584,0.493724,0.41833,10.00
0.001980,5.006243,0.492588,0.41839,10.00
0.001990,5.004862,0.491668,0.41845,10.00
0.002000,5.003636,0.490971,0.41852,10.00
0.002010,5.003124,0.490412,0.41854,10.00
0.002020,5.002590,0.489936,0.41856,10.00
0.002030,5.002040,0.489546,0.41859,10.00
0.002040,5.001478,0.489245,0.41862,10.00
0.002050,5.000734,0.489035,0.41864,10.00
0.002060,4.999303,0.488998,0.41872,10.00
0.002070,4.997883,0.489191,0.41879,10.00
0.002080,4.996484,0.489610,0.41886,10.00
0.002090,4.995117,0.490252,0.41893,10.00
0.002100,4.994329,0.491111,0.41900,10.00
0.002110,4.995728,0.491922,0.41894,10.00
0.002120,4.997152,0.492508,0.41887,10.00
0.002130,4.998590,0.492866,0.41880,10.00
0.002140,5.000032,0.492993,0.41873,10.00
0.002150,5.000915,0.492890,0.41866,10.00
0.002160,4.999592,0.492822,0.41872,10.00
0.002170,4.998278,0.492966,0.41879,10.00
0.002180,4.996982,0.493319,0.41886,10.00
0.002190,4.995713,0.493879,0.41892,10.00
0.002200,4.994795,0.494640,0.41899,10.00
0.002210,4.995173,0.495446,0.41897,10.00
0.002220,4.995584,0.496190,0.41896,10.00
0.002230,4.996025,0.496868,0.41894,10.00
0.002240,4.996493,0.497473,0.41892,10.00
0.002250,4.996871,0.498002,0.41890,10.00
0.002260,4.996817,0.498507,0.41890,10.00
0.002270,4.996786,0.499019,0.41891,10.00
0.002280,4.996779,0.499535,0.41891,10.00
0.002290,4.996795,0.500051,0.41891,10.00
0.002300,4.996733,0.500564,0.41891,10.00
0.002310,4.996291,0.501117,0.41894,10.00
0.002320,4.995878,0.501741,0.41896,10.00
0.002330,4.995497,0.502429,0.41898,10.00
0.002340,4.995151,0.503177,0.41901,10.00
0.002350,4.995159,0.503978,0.41903,10.00
0.002360,4.996468,0.504676,0.41896,10.00
0.002370,4.997798,0.505162,0.41890,10.00
0.002380,4.999137,0.505436,0.41883,10.00
0.002390,5.000478,0.505494,0.41877,10.00
0.002400,5.001725,0.505338,0.41870,10.00
0.002410,5.002622,0.505010,0.41865,10.00
0.002420,5.003497,0.504539,0.41861,10.00
0.002430,5.004342,0.503930,0.41856,10.00
0.002440,5.005152,0.503186,0.41852,10.00
0.002450,5.005723,0.502315,0.41847,10.00
